team__displayName,team__abbrName,team__logoId,player__position,player__rosterId,player__fullName,player__yearsPro,player__injuryLength,player__portraitId,player__jerseyNum,gamesPlayed,fantasy_points,passTotalAtt,passTotalComp,passAvgCompPct,passTotalInts,passTotalLongest,passerAvgRating,passTotalSacks,passTotalTDs,passTotalYds,passAvgYdsPerAtt,passAvgYdsPerGame
49ers,SF,14,QB,554173878,Colin LaMontagne,1,0,4204,6,15,85.16,400,233,58.25,26,68,84.43,24,17,3289,8.22,247.17
49ers,SF,14,QB,554173438,Jared Goff,11,0,8021,13,4,25.56,73,52,71.23,3,44,112.55,3,6,662,9.07,158.29
Bears,CHI,0,QB,554175170,Tyler Lidge,1,0,4089,10,8,46.18,139,79,56.83,12,66,78.91,11,9,1069,7.69,206.95
Bears,CHI,0,QB,554173292,Justin Fields,6,0,1366,1,13,111.16,357,219,61.34,21,75,101.98,42,34,3595,10.07,297.90
Bengals,CIN,1,QB,554174309,Matt Baker,2,0,4089,5,3,4.16,39,25,64.10,0,49,132.07,1,4,413,10.59,59.89
Bengals,CIN,1,QB,554172809,Joe Burrow,7,0,198,9,17,101.16,564,394,69.86,12,75,99.35,22,27,4149,7.36,236.29
Bills,BUF,2,QB,554174372,Joshua Duggan,2,0,3667,10,3,1.64,5,3,60.00,0,23,87.47,0,0,41,8.20,11.03
Bills,BUF,2,QB,554172465,Josh Allen,9,0,8800,17,17,131.54,541,379,70.06,20,76,108.20,15,44,4850,8.96,281.38
Broncos,DEN,3,QB,554172447,Cameron Martin,3,0,3858,17,9,49.04,208,127,61.06,8,66,94.01,10,18,1738,8.36,164.72
Broncos,DEN,3,QB,554174167,Jordan Love,7,0,433,13,14,54.54,312,180,57.69,21,82,75.61,14,18,2465,7.90,142.84
Browns,CLE,4,QB,554174389,Josh Watson,3,0,4065,7,8,52.22,235,147,62.55,11,75,104.66,10,19,2381,10.13,285.08
Browns,CLE,4,QB,554175117,C.J. Stroud,4,0,2417,7,10,115.56,291,194,66.67,10,61,109.47,18,28,2560,8.80,278.15
Browns,CLE,4,QB,554175217,Dorian Thompson-Robinson,4,0,2616,17,1,0.70,3,1,33.33,0,13,47.90,0,0,13,4.33,6.50
Buccaneers,TB,5,QB,554173777,Spencer Waters,3,0,4089,3,17,144.06,396,273,68.94,8,100,121.64,12,38,4317,10.90,231.25
Buccaneers,TB,5,QB,554173766,Tyler Huntley,7,0,904,7,2,8.48,8,6,75.00,0,52,123.20,0,1,112,14.00,48.00
Cardinals,ARI,6,QB,554174398,Jonathan Saucedo,2,0,3906,17,3,12.58,54,37,68.52,2,31,81.90,3,3,418,7.74,107.87
Cardinals,ARI,6,QB,554174446,Kyler Murray,8,0,9583,0,17,140.86,482,278,57.68,15,77,86.46,31,29,3905,8.10,240.42
Chargers,LAC,7,QB,554174355,Davis Mills,6,0,969,15,2,14.48,18,6,33.33,0,75,105.60,1,2,162,9.00,81.00
Chargers,LAC,7,QB,554173633,Justin Herbert,7,0,346,10,10,101.92,295,199,67.46,9,73,110.46,18,24,2705,9.17,285.97
Chargers,LAC,7,QB,554174688,Dak Prescott,11,0,8179,4,8,92.70,222,131,59.01,3,80,99.33,23,14,2159,9.73,241.16
Chiefs,KC,8,QB,554173142,Logan Davis,2,0,3384,16,1,0.52,1,1,100.00,0,13,118.70,0,0,13,13.00,1.30
Chiefs,KC,8,QB,554174204,Patrick Mahomes,10,0,8648,15,17,155.78,596,415,69.63,8,69,111.87,29,39,4931,8.27,327.06
Colts,IND,9,QB,554173361,George Long,3,0,4207,8,2,-0.16,2,1,50.00,0,0,59.30,0,0,-4,-2.00,-0.25
Colts,IND,9,QB,554174777,Anthony Richardson,4,0,2609,5,12,68.74,384,224,58.33,21,83,85.59,34,23,3586,9.34,280.84
Commanders,WAS,25,QB,554174792,Bryce Friedman,1,0,4062,16,4,29.12,98,56,57.14,6,40,75.80,6,6,672,6.86,86.42
Commanders,WAS,25,QB,554174021,Tyson Peerman,2,0,4094,0,14,59.86,359,233,64.90,13,85,100.44,26,27,2944,8.20,229.21
Cowboys,DAL,10,QB,554175103,Theo Adams,2,0,4203,8,17,131.66,483,295,61.08,15,75,99.39,41,31,4171,8.64,267.43
Cowboys,DAL,10,QB,554175007,Geno Smith,14,0,6078,12,2,0.90,34,22,64.71,0,31,82.20,2,3,293,8.62,24.42
Dolphins,MIA,11,QB,554173237,Desmond Hankins,2,0,3938,12,13,51.46,304,201,66.12,10,42,88.88,25,15,2426,7.98,117.88
Dolphins,MIA,11,QB,554173960,Mac Jones,6,0,1371,10,7,30.06,162,112,69.14,7,85,95.51,12,14,1617,9.98,263.21
Eagles,PHI,12,QB,554173771,Jalen Hurts,7,0,704,1,17,113.74,464,318,68.53,18,73,103.86,26,33,3847,8.29,244.19
Falcons,ATL,13,QB,554175315,LaRon Barrett,2,0,3410,9,17,105.32,497,309,62.17,16,86,106.81,30,40,4651,9.36,294.69
Falcons,ATL,13,QB,554173029,Malik Cunningham,4,0,0,16,4,1.48,20,13,65.00,2,72,92.03,0,1,206,10.30,10.24
Giants,NYG,15,QB,554172429,David Ramos,3,0,3947,11,17,108.66,462,301,65.15,11,55,95.92,18,22,3613,7.82,199.48
Giants,NYG,15,QB,554173941,Daniel Jones,8,0,9537,8,4,2.92,22,13,59.09,1,26,71.23,1,0,123,5.59,31.02
Jaguars,JAX,16,QB,554172535,Jon McDermott,1,0,4227,19,2,-0.04,2,2,100.00,0,2,79.10,0,0,-1,-0.50,0.13
Jaguars,JAX,16,QB,554174097,Trevor Lawrence,6,0,1372,16,17,134.50,568,385,67.78,17,75,100.84,27,37,4778,8.41,259.89
Jets,NYJ,17,QB,554173570,Wes Anderson,3,0,4062,11,15,62.90,457,290,63.46,33,74,88.49,33,31,4029,8.82,255.78
Jets,NYJ,17,QB,554174651,Kenny Pickett,5,0,1889,13,1,0.76,1,1,100.00,0,19,118.70,0,0,19,19.00,19.00
Lions,DET,18,QB,554175486,Craig Milner,2,0,4090,3,17,84.78,493,342,69.37,11,93,103.16,36,27,4092,8.30,250.28
Packers,GB,19,QB,554174292,Calvin Clemons,1,0,3711,18,2,0.70,25,14,56.00,0,50,75.90,2,2,195,7.80,19.50
Packers,GB,19,QB,554175515,Zach Wilson,6,0,1367,2,16,99.78,430,278,64.65,10,73,113.04,23,38,3979,9.25,235.13
Panthers,CAR,20,QB,554175587,Bryce Young,4,0,2638,9,17,89.48,583,363,62.26,20,75,100.26,35,37,5023,8.62,328.83
Panthers,CAR,20,QB,554173052,Sam Darnold,8,0,8861,19,1,0.00,1,0,0.00,0,0,39.50,0,0,0,0.00,0.00
Patriots,NE,21,QB,554174128,Will Levis,4,0,7889,0,4,10.74,55,33,60.00,4,53,68.60,2,3,423,7.69,108.83
Patriots,NE,21,QB,554174778,Desmond Ridder,5,0,1912,1,17,128.12,546,354,64.84,14,98,111.04,34,50,5213,9.55,294.64
Raiders,LV,22,QB,554174389,Josh Watson,3,0,4065,7,11,137.90,311,205,65.92,5,79,120.49,24,32,3019,9.71,285.21
Raiders,LV,22,QB,554175117,C.J. Stroud,4,0,2417,7,7,49.10,228,142,62.28,14,75,82.16,20,13,2011,8.82,293.10
Rams,LAR,23,QB,554174889,Andrew Moore,2,0,3363,3,5,30.32,64,45,70.31,2,42,115.30,3,5,548,8.56,89.42
Rams,LAR,23,QB,554173733,Sam Howell,5,0,1770,14,15,77.10,481,309,64.24,11,80,101.81,25,30,3914,8.14,240.70
Rams,LAR,23,QB,554173616,Taylor Heinicke,11,0,7169,17,2,4.34,8,7,87.50,0,51,138.50,0,2,99,12.38,25.25
Ravens,BAL,24,QB,554173360,Jaden Brown,1,0,3825,15,11,36.38,138,85,61.59,4,36,96.30,6,7,1092,7.91,48.48
Ravens,BAL,24,HB,554174155,Chris Brooks,4,0,0,12,1,0.60,1,1,100.00,0,15,118.70,0,0,15,15.00,1.25
Ravens,BAL,24,HB,554175086,Rhamondre Stevenson,6,0,1146,1,1,16.30,1,1,100.00,0,0,79.10,0,0,-5,-5.00,-0.56
