team__displayName,team__abbrName,team__logoId,player__position,player__rosterId,player__fullName,player__yearsPro,player__injuryLength,player__portraitId,player__jerseyNum,gamesPlayed,fantasy_points,recTotalCatches,recAvgCatchPct,recTotalDrops,recTotalLongest,recTotalTDs,recTotalYdsAfterCatch,recTotalYds,recAvgYacPerCatch,recAvgYdsPerCatch,recAvgYdsPerGame
49ers,SF,14,TE,554174875,Kyle Garnes,1,0,3807,80,17,74.20,50,86.57,6,46,1,173,682,3.46,13.64,41.99
49ers,SF,14,HB,554173260,Paul Gregory,1,0,4222,25,8,26.00,11,79.17,3,22,0,95,136,8.64,12.36,9.14
49ers,SF,14,WR,554174761,Matt Pippen,2,0,3764,1,16,63.70,47,91.15,6,68,6,208,579,4.43,12.32,39.47
49ers,SF,14,HB,554174354,Tyler Bagley,3,6,3939,37,2,2.10,4,100.00,0,23,2,35,48,8.75,12.00,6.35
49ers,SF,14,TE,554174092,Cameron Latu,4,0,2287,81,5,3.40,5,80.00,1,20,0,9,34,1.80,6.80,3.39
49ers,SF,14,WR,554172445,Brandon Aiyuk,7,0,71,11,17,164.60,82,93.16,9,45,8,389,1410,4.74,17.20,89.28
49ers,SF,14,WR,554174874,Deebo Samuel,8,0,9618,19,15,87.90,44,91.11,4,37,3,180,735,4.09,16.70,44.11
49ers,SF,14,HB,554174255,Christian McCaffrey,10,0,8655,23,13,68.90,41,94.87,2,22,3,211,322,5.15,7.85,20.77
Bears,CHI,0,TE,554173013,Marquis Burke,2,0,3400,80,6,5.00,8,100.00,0,29,0,44,77,5.50,9.62,7.49
Bears,CHI,0,HB,554175111,Tevin Bacon,2,0,3845,35,1,0.00,0,0.00,1,0,0,0,0,0.00,0.00,0.00
Bears,CHI,0,HB,554175329,Theo Drake,3,0,3358,5,17,78.90,45,98.04,1,66,6,289,583,6.42,12.96,33.66
Bears,CHI,0,WR,554174916,Tyler Scott,4,0,2386,13,12,104.30,49,95.83,1,68,9,335,917,6.84,18.71,93.36
Bears,CHI,0,WR,554174396,Elijah Moore,6,0,1162,89,17,114.50,55,92.16,5,49,7,247,856,4.49,15.56,53.76
Bears,CHI,0,TE,554174045,Cole Kmet,7,0,711,85,17,122.10,65,96.51,3,37,10,193,1028,2.97,15.82,70.10
Bears,CHI,0,WR,554174985,Darius Slayton,8,0,9631,86,6,22.40,17,80.00,2,42,1,99,265,5.82,15.59,19.91
Bears,CHI,0,WR,554174394,D.J. Moore,9,0,8995,2,15,135.00,58,89.71,8,75,10,328,934,5.66,16.10,53.78
Bengals,CIN,1,TE,554175059,Braxton Burr,1,0,3667,17,3,1.60,3,100.00,0,6,0,9,16,3.00,5.33,2.76
Bengals,CIN,1,TE,554175305,Josh Davis,2,0,3765,13,5,4.40,5,90.00,1,21,0,23,61,4.60,12.20,3.80
Bengals,CIN,1,TE,554172961,Sidney Swann,2,0,3765,19,2,1.50,2,100.00,0,13,0,0,15,0.00,7.50,0.51
Bengals,CIN,1,WR,554173042,Steven Gardner,2,0,4189,84,1,0.60,1,100.00,0,6,0,2,6,2.00,6.00,0.60
Bengals,CIN,1,WR,554174054,Demario Lane,3,5,4082,16,16,80.70,83,96.35,4,49,4,385,801,4.64,9.65,49.03
Bengals,CIN,1,WR,554175084,Kionte Drake,3,0,3400,83,17,142.70,95,94.54,6,53,9,487,1132,5.13,11.92,50.93
Bengals,CIN,1,WR,554173789,Andrei Iosivas,4,0,2229,80,8,45.60,22,93.75,1,42,3,59,276,2.68,12.55,15.06
Bengals,CIN,1,HB,554172755,Chase Brown,4,0,1827,30,9,31.50,17,83.33,2,19,0,65,101,3.82,5.94,5.21
Bengals,CIN,1,TE,554174450,Luke Musgrave,4,0,2334,88,16,60.60,63,90.77,6,35,1,237,623,3.76,9.89,31.81
Bengals,CIN,1,WR,554172905,Ja'Marr Chase,6,0,1370,1,14,180.00,105,96.32,5,75,13,642,1352,6.11,12.88,110.03
Bengals,CIN,1,HB,554173134,J.K. Dobbins,7,0,257,24,10,66.10,22,96.67,1,17,1,83,167,3.77,7.59,11.99
Bills,BUF,2,WR,554175550,Max Edwards,1,0,3756,87,11,61.30,38,90.91,1,41,6,218,456,5.74,12.00,18.19
Bills,BUF,2,WR,554175621,Phillip Rathman,1,0,3370,82,1,0.40,1,100.00,0,4,0,1,4,1.00,4.00,0.50
