team__displayName,team__abbrName,team__logoId,player__position,player__rosterId,player__fullName,player__yearsPro,player__injuryLength,player__portraitId,player__jerseyNum,gamesPlayed,fantasy_points,rushTotalAtt,rushTotalBrokenTackles,rushTotalFum,rushTotalLongest,rushTotalTDs,rushTotal20PlusYds,rushTotalYdsAfterContact,rushTotalYds,rushAvgYdsAfterContact,rushAvgYdsPerAtt,rushAvgYdsPerGame
49ers,SF,14,QB,554173878,Colin LaMontagne,1,0,4204,6,12,38.48,53,2,4,28,4,3,33,253,2.75,4.77,9.76
49ers,SF,14,TE,554174875,Kyle Garnes,1,0,3807,80,5,32.00,0,5,0,0,0,0,0,0,0.00,0.00,0.00
49ers,SF,14,HB,554173260,Paul Gregory,1,0,4222,25,16,34.10,66,10,0,13,3,0,45,234,2.81,3.55,13.57
49ers,SF,14,WR,554174761,Matt Pippen,2,0,3764,1,9,39.10,2,10,2,2,0,0,0,3,0.00,1.50,0.06
49ers,SF,14,HB,554174354,Tyler Bagley,3,6,3939,37,8,9.50,20,5,0,15,0,0,35,95,4.38,4.75,4.38
49ers,SF,14,TE,554174092,Cameron Latu,4,0,2287,81,3,7.70,4,2,0,7,1,0,4,17,1.33,4.25,1.13
49ers,SF,14,WR,554172445,Brandon Aiyuk,7,0,71,11,11,86.90,4,13,0,5,0,0,0,12,0.00,3.00,0.28
49ers,SF,14,WR,554174874,Deebo Samuel,8,0,9618,19,7,48.00,2,11,1,8,0,0,0,14,0.00,7.00,0.77
49ers,SF,14,HB,554174255,Christian McCaffrey,10,0,8655,23,17,118.70,251,33,1,70,11,6,291,1431,17.12,5.70,94.23
49ers,SF,14,QB,554173438,Jared Goff,11,0,8021,13,4,3.00,12,0,0,9,0,0,0,30,0.00,2.50,11.86
49ers,SF,14,QB,554175526,Jameis Winston,12,0,6980,15,1,6.30,1,0,0,3,1,0,0,3,0.00,3.00,3.00
Bears,CHI,0,QB,554175170,Tyler Lidge,1,0,4089,10,5,41.26,25,0,1,20,1,1,4,126,0.80,5.04,25.31
Bears,CHI,0,TE,554173013,Marquis Burke,2,0,3400,80,6,27.90,8,1,0,6,4,0,1,18,0.17,2.25,-0.26
Bears,CHI,0,HB,554175111,Tevin Bacon,2,0,3845,35,7,28.20,35,5,0,7,4,0,7,112,1.00,3.20,3.97
Bears,CHI,0,WR,554173819,Steve Peralta,3,0,3945,82,3,-2.00,0,3,1,0,0,0,0,0,0.00,0.00,0.00
Bears,CHI,0,HB,554175329,Theo Drake,3,0,3358,5,17,78.90,183,21,1,25,6,2,158,800,9.29,4.37,43.33
Bears,CHI,0,WR,554174916,Tyler Scott,4,0,2386,13,7,50.50,3,6,1,6,0,0,0,9,0.00,3.00,0.84
Bears,CHI,0,WR,554174396,Elijah Moore,6,0,1162,89,9,54.40,2,9,2,5,0,0,0,8,0.00,4.00,0.33
Bears,CHI,0,QB,554173292,Justin Fields,6,0,1366,1,13,111.16,80,9,5,31,5,6,83,538,6.38,6.72,39.61
Bears,CHI,0,TE,554174045,Cole Kmet,7,0,711,85,7,34.00,0,13,0,0,0,0,0,0,0.00,0.00,0.00
Bears,CHI,0,WR,554174985,Darius Slayton,8,0,9631,86,3,13.00,1,3,0,1,0,0,0,1,0.00,1.00,0.09
Bears,CHI,0,WR,554174394,D.J. Moore,9,0,8995,2,7,46.20,2,5,0,5,0,0,1,6,0.14,3.00,0.54
Bengals,CIN,1,TE,554175059,Braxton Burr,1,0,3667,17,1,0.30,1,0,0,3,0,0,0,3,0.00,3.00,0.60
Bengals,CIN,1,HB,554175567,Otis Hitchens,1,0,3807,28,8,47.20,31,2,0,13,6,0,5,112,0.63,3.61,5.32
Bengals,CIN,1,TE,554175305,Josh Davis,2,0,3765,13,2,0.00,0,2,0,0,0,0,0,0,0.00,0.00,0.00
Bengals,CIN,1,QB,554174309,Matt Baker,2,0,4089,5,1,-2.00,0,0,1,0,0,0,0,0,0.00,0.00,0.00
Bengals,CIN,1,WR,554173042,Steven Gardner,2,0,4189,84,4,-2.00,0,4,1,0,0,0,0,0,0.00,0.00,0.00
Bengals,CIN,1,WR,554174054,Demario Lane,3,5,4082,16,9,27.30,3,6,1,7,0,0,0,15,0.00,5.00,0.78
Bengals,CIN,1,WR,554175084,Kionte Drake,3,0,3400,83,6,58.10,5,8,1,13,0,0,7,26,1.17,5.20,1.33
Bengals,CIN,1,WR,554173789,Andrei Iosivas,4,0,2229,80,1,11.50,0,1,0,0,0,0,0,0,0.00,0.00,0.00
Bengals,CIN,1,HB,554172755,Chase Brown,4,0,1827,30,14,53.40,123,20,1,34,5,1,102,591,7.29,4.80,35.04
Bengals,CIN,1,TE,554174450,Luke Musgrave,4,0,2334,88,3,7.30,0,6,0,0,0,0,0,0,0.00,0.00,0.00
Bengals,CIN,1,WR,554172905,Ja'Marr Chase,6,0,1370,1,7,86.40,0,12,2,0,0,0,0,0,0.00,0.00,0.00
Bengals,CIN,1,HB,554173134,J.K. Dobbins,7,0,257,24,12,71.90,168,19,1,53,7,3,273,813,22.75,4.84,66.35
Bengals,CIN,1,QB,554172809,Joe Burrow,7,0,198,9,15,79.24,36,6,1,44,1,1,48,213,3.20,5.92,8.55
Bills,BUF,2,WR,554175550,Max Edwards,1,0,3756,87,8,48.40,0,10,0,0,0,0,0,0,0.00,0.00,0.00
Bills,BUF,2,WR,554172870,Frank Reeves,2,0,4089,81,6,36.90,0,10,0,0,0,0,0,0,0.00,0.00,0.00
Bills,BUF,2,QB,554174372,Joshua Duggan,2,0,3667,10,1,0.28,2,0,0,0,0,0,0,-2,0.00,-1.00,-0.50
Bills,BUF,2,WR,554174044,LaShawn Wiggins,2,0,3657,80,6,49.30,1,11,1,10,0,0,2,10,0.33,10.00,1.23
Bills,BUF,2,FB,554173568,Steve McKinney,2,0,3380,41,3,6.80,5,0,0,6,1,0,4,8,1.33,1.60,0.70
Bills,BUF,2,HB,554173639,Roman Sweat,3,0,3491,33,11,39.00,65,3,0,19,2,0,42,265,3.82,4.08,17.57
Bills,BUF,2,TE,554174029,Dalton Kincaid,4,0,2277,86,11,85.30,1,21,1,0,0,0,0,-2,0.00,-2.00,-0.26
Bills,BUF,2,HB,554172981,James Cook,5,0,1304,4,10,18.10,112,12,2,36,6,2,136,607,13.60,5.42,56.35
Bills,BUF,2,HB,554173563,Damien Harris,8,19,9491,20,17,60.30,105,15,0,20,5,1,119,418,7.00,3.98,19.65
Bills,BUF,2,QB,554172465,Josh Allen,9,0,8800,17,13,41.06,36,1,3,13,2,0,8,101,0.62,2.81,5.35
Bills,BUF,2,WR,554175298,Marquez Valdes-Scantling,9,0,9091,11,2,1.80,0,2,0,0,0,0,0,0,0.00,0.00,0.00
Bills,BUF,2,WR,554173122,Stefon Diggs,12,0,7085,14,6,62.80,0,11,0,0,0,0,0,0,0.00,0.00,0.00
Broncos,DEN,3,WR,554175625,Demetrious Lane,1,0,3860,15,7,36.90,0,9,1,0,0,0,0,0,0.00,0.00,0.00
Broncos,DEN,3,WR,554175517,Ricky Stump,1,0,4222,81,6,25.10,4,4,0,6,0,0,0,12,0.00,3.00,1.18
Broncos,DEN,3,TE,554173557,Cody Knox,2,0,3360,84,5,42.00,5,3,0,6,4,0,1,12,0.20,2.40,0.52
Broncos,DEN,3,HB,554174921,Kendall Porter,2,0,3704,1,17,62.50,117,17,3,94,5,2,178,595,10.47,5.09,42.95
Broncos,DEN,3,QB,554172447,Cameron Martin,3,0,3858,17,8,37.16,23,1,0,15,0,0,1,81,0.13,3.52,8.06
Broncos,DEN,3,WR,554174358,Marvin Mims Jr,4,0,2312,19,3,4.30,1,4,0,5,0,0,0,5,0.00,5.00,0.10
Broncos,DEN,3,HB,554173908,Roschon Johnson,4,0,2604,20,5,8.50,6,0,0,8,1,0,2,25,0.40,4.17,2.37
Broncos,DEN,3,TE,554173169,Greg Dulcich,5,0,1550,80,4,54.10,0,6,1,0,0,0,0,0,0.00,0.00,0.00
Broncos,DEN,3,FB,554172881,Roger Carter,5,0,2698,43,3,2.00,5,0,0,13,0,0,3,20,1.00,4.00,2.11
Broncos,DEN,3,HB,554175463,Javonte Williams,6,0,1118,33,16,137.40,206,43,1,79,12,5,324,1229,20.25,5.97,70.42
Broncos,DEN,3,WR,554173862,Jerry Jeudy,7,18,392,10,2,27.50,0,1,1,0,0,0,0,0,0.00,0.00,0.00
Broncos,DEN,3,QB,554174167,Jordan Love,7,0,433,13,12,58.34,30,8,1,41,3,2,46,167,3.83,5.57,8.85
Browns,CLE,4,WR,554175470,D'Angelo Ball,2,0,3357,3,4,14.90,0,4,0,0,0,0,0,0,0.00,0.00,0.00
Browns,CLE,4,WR,554174834,Andrew Moore,3,0,3842,16,7,78.90,2,10,1,6,0,0,0,4,0.00,2.00,0.54
Browns,CLE,4,QB,554174389,Josh Watson,3,0,4065,7,8,52.22,27,0,2,15,6,0,5,136,0.63,5.04,15.53
Browns,CLE,4,HB,554175151,Lorenzo Felix,3,0,3810,24,1,-0.70,6,0,0,3,0,0,0,-7,0.00,-1.17,-0.58
Browns,CLE,4,TE,554172590,Silas Short,3,0,3842,82,1,3.20,0,1,0,0,0,0,0,0,0.00,0.00,0.00
Browns,CLE,4,WR,554175604,Travis Frazier,3,0,4067,81,2,25.30,0,2,2,0,0,0,0,0,0.00,0.00,0.00
Browns,CLE,4,QB,554175117,C.J. Stroud,4,0,2417,7,9,102.20,42,1,1,14,2,0,10,181,1.11,4.31,15.11
Browns,CLE,4,QB,554175217,Dorian Thompson-Robinson,4,0,2616,17,1,0.70,1,1,0,7,0,0,1,7,1.00,7.00,3.50
Browns,CLE,4,HB,554174653,Dameon Pierce,5,0,1891,31,17,118.50,192,32,0,79,12,4,235,1123,13.82,5.85,81.01
Browns,CLE,4,TE,554174142,Isaiah Likely,5,2,1807,86,5,38.30,1,6,0,7,0,0,0,7,0.00,7.00,0.11
Browns,CLE,4,FB,554174227,Ben Mason,6,0,1034,38,1,0.20,1,0,1,1,0,0,0,1,0.00,1.00,0.25
Browns,CLE,4,WR,554172966,Nico Collins,6,0,1148,88,3,47.40,0,4,0,0,0,0,0,0,0.00,0.00,0.00
Browns,CLE,4,HB,554172980,Dalvin Cook,9,0,8516,33,13,65.40,75,17,0,65,5,4,120,415,9.23,5.53,22.87
Buccaneers,TB,5,HB,554172653,David Watkins,1,0,3704,25,16,167.40,247,33,2,85,18,23,511,2055,31.94,8.32,156.25
Buccaneers,TB,5,TE,554174537,DeAngelo Golston,1,0,3347,88,6,21.40,0,5,2,0,0,0,0,0,0.00,0.00,0.00
Buccaneers,TB,5,WR,554173001,Broderick Payne,2,6,3770,8,9,81.70,4,6,1,9,0,0,6,19,0.67,4.75,2.39
Buccaneers,TB,5,WR,554173547,Bryce Samuels,2,0,3758,83,8,9.90,1,6,3,0,1,0,0,-3,0.00,-3.00,-0.11
Buccaneers,TB,5,HB,554175406,Terrence Gary,2,0,3358,35,3,35.30,17,1,0,7,5,0,1,53,0.33,3.12,5.75
Buccaneers,TB,5,HB,554174592,Demetrius Allen,3,0,3846,24,2,0.60,9,0,0,12,0,0,4,27,2.00,3.00,7.25
Buccaneers,TB,5,WR,554173390,Forrest Johnson,3,0,3942,87,1,3.20,0,2,0,0,0,0,0,0,0.00,0.00,0.00
Buccaneers,TB,5,QB,554173777,Spencer Waters,3,0,4089,3,16,127.94,56,2,7,26,12,2,27,164,1.69,2.93,11.01
Buccaneers,TB,5,HB,554174367,Keaton Mitchell,4,0,0,38,5,2.90,36,4,0,9,2,0,19,88,3.80,2.44,8.32
Buccaneers,TB,5,WR,554174579,Trey Palmer,4,0,2608,10,4,14.40,0,5,0,0,0,0,0,0,0.00,0.00,0.00
Buccaneers,TB,5,TE,554173473,Noah Gray,6,0,1085,84,4,5.90,5,1,0,18,0,0,5,59,1.25,11.80,4.73
Buccaneers,TB,5,QB,554173766,Tyler Huntley,7,0,904,7,2,2.26,2,0,0,5,1,0,0,8,0.00,4.00,2.25
Buccaneers,TB,5,TE,554174995,Irv Smith Jr,8,0,9633,89,1,0.00,0,1,0,0,0,0,0,0,0.00,0.00,0.00
Cardinals,ARI,6,TE,554174610,George Arellanes,1,0,3942,83,3,19.00,0,7,0,0,0,0,0,0,0.00,0.00,0.00
Cardinals,ARI,6,FB,554175057,Erick Coleman,2,0,3667,40,8,27.40,10,2,0,8,3,0,5,31,0.63,3.10,0.72
Cardinals,ARI,6,QB,554174398,Jonathan Saucedo,2,0,3906,17,2,1.40,5,0,0,5,0,0,0,14,0.00,2.80,2.07
Cardinals,ARI,6,HB,554173367,Brandon Mabry,3,0,4080,26,10,24.50,27,1,0,7,3,0,6,61,0.60,2.26,2.74
Cardinals,ARI,6,WR,554173546,Dexter Whitlock,3,0,3704,80,9,61.60,3,9,0,7,0,0,0,7,0.00,2.33,0.34
Cardinals,ARI,6,HB,554174572,Eric Richard,3,0,3807,39,14,45.20,144,12,2,29,5,4,66,601,4.71,4.17,38.65
Cardinals,ARI,6,WR,554174216,Terrace Marshall Jr,5,0,1081,88,1,0.00,0,1,0,0,0,0,0,0,0.00,0.00,0.00
Cardinals,ARI,6,WR,554174400,Rondale Moore,6,0,1264,4,1,-0.20,1,1,0,0,0,0,1,-2,1.00,-2.00,-0.50
