team__displayName,team__abbrName,team__logoId,player__position,player__rosterId,player__fullName,player__yearsPro,player__injuryLength,player__portraitId,player__jerseyNum,gamesPlayed,fantasy_points,recTotalCatches,recAvgCatchPct,recTotalDrops,recTotalLongest,recTotalTDs,recTotalYdsAfterCatch,recTotalYds,recAvgYacPerCatch,recAvgYdsPerCatch,recAvgYdsPerGame
49ers,SF,14,TE,551029268,Cade Stover,1,0,10256,87,1,2.30,3,100.00,0,10,0,11,23,3.67,7.67,1.35
49ers,SF,14,TE,551029064,Ja'Tavion Sanders,1,0,10242,85,8,25.60,24,100.00,0,35,0,81,272,3.38,11.33,16.00
49ers,SF,14,WR,551029601,Jordan Whittington,1,0,10292,88,1,0.00,1,100.00,0,16,0,8,16,8.00,16.00,1.23
49ers,SF,14,WR,551027303,Derius Davis,2,0,3053,12,4,9.30,5,100.00,0,33,0,23,99,4.60,19.80,5.82
49ers,SF,14,TE,551028325,Isaiah Likely,3,6,1807,80,12,74.10,42,84.84,8,48,6,207,554,4.93,13.19,39.57
49ers,SF,14,WR,551029630,Jameson Williams,3,0,2033,9,16,114.40,81,84.85,17,84,16,555,1452,6.85,17.93,85.41
49ers,SF,14,HB,551029321,Jonathan Taylor,5,19,604,28,13,108.90,45,85.63,8,59,2,390,613,8.67,13.62,43.79
49ers,SF,14,FB,551028084,Jakob Johnson,6,0,393,38,4,2.60,4,100.00,0,10,0,24,26,6.00,6.50,1.53
49ers,SF,14,WR,551027025,Marquise Brown,6,0,9402,5,17,71.50,49,92.94,3,67,3,174,629,3.55,12.84,37.00
49ers,SF,14,WR,551027768,Mecole Hardman Jr,6,0,9489,17,17,92.10,58,99.02,1,72,7,218,793,3.76,13.67,46.65
49ers,SF,14,HB,551029089,Boston Scott,7,0,9350,30,5,11.00,7,100.00,0,19,0,25,84,3.57,12.00,10.50
Bears,CHI,0,WR,551029674,Roman Wilson,1,0,10303,10,13,45.70,62,89.81,9,43,10,252,850,4.06,13.71,65.39
Bears,CHI,0,WR,551028768,Tejhaun Palmer,1,0,0,83,5,14.10,7,95.00,1,40,0,9,141,1.29,20.14,23.50
Bears,CHI,0,TE,551027870,Elijah Higgins,2,0,2209,84,9,34.20,20,88.89,1,37,1,122,357,6.10,17.85,21.00
Bears,CHI,0,TE,551028640,Luke Musgrave,2,0,3364,88,15,97.50,53,83.67,15,44,4,241,948,4.55,17.89,59.25
Bears,CHI,0,WR,551029095,Tyler Scott,2,0,2386,13,12,53.10,34,97.62,2,56,2,144,515,4.24,15.15,30.29
Bears,CHI,0,WR,551029666,Garrett Wilson,3,0,2040,5,17,95.70,75,91.11,12,66,10,493,1152,6.57,15.36,67.77
Bears,CHI,0,WR,551028836,George Pickens,3,0,1888,14,15,85.40,53,89.33,6,46,5,295,946,5.57,17.85,63.07
Bears,CHI,0,HB,551027675,Tyler Goodson,3,0,1736,34,1,0.50,2,100.00,0,3,0,12,5,6.00,2.50,0.31
Bears,CHI,0,WR,551028045,Van Jefferson,5,0,386,11,1,2.00,2,100.00,0,11,0,4,20,2.00,10.00,2.86
Bears,CHI,0,HB,551028863,Tony Pollard,6,0,9600,20,15,49.50,35,96.67,1,71,2,277,282,7.91,8.06,16.59
Bears,CHI,0,TE,551029353,Ian Thomas,7,0,9078,80,2,3.70,3,100.00,0,26,0,9,50,3.00,16.67,2.94
Bengals,CIN,1,TE,551028946,Tip Reiman,1,0,10225,87,5,20.50,8,100.00,0,21,2,32,85,4.00,10.62,5.67
Bengals,CIN,1,WR,551029774,Tyler Harrell,1,0,0,81,9,13.30,24,96.30,2,46,1,147,343,6.12,14.29,20.18
Bengals,CIN,1,WR,551029716,Xavier Worthy,1,0,10305,1,17,94.50,77,95.88,4,43,7,351,1077,4.56,13.99,63.35
Bengals,CIN,1,WR,551027973,Jalin Hyatt,2,0,2219,13,12,126.20,50,91.53,5,65,10,304,729,6.08,14.58,60.75
Bengals,CIN,1,WR,551028769,Trey Palmer,2,0,2608,10,13,53.70,51,91.03,3,62,3,164,544,3.22,10.67,32.00
Bengals,CIN,1,HB,551027144,Zach Charbonnet,2,0,1919,26,14,53.92,36,93.57,3,17,3,221,211,6.14,5.86,14.07
Bengals,CIN,1,WR,551027698,Danny Gray,3,0,1741,6,7,6.30,18,100.00,0,70,1,120,249,6.67,13.83,19.15
Bengals,CIN,1,TE,551029037,Jeremy Ruckert,3,0,1932,89,10,24.00,22,96.67,1,26,1,50,196,2.27,8.91,11.53
Bengals,CIN,1,HB,551027326,Tyrion Davis-Price,3,0,1328,35,4,18.10,8,100.00,0,17,1,53,55,6.62,6.88,4.23
Bengals,CIN,1,HB,551028197,Joshua Kelley,5,0,409,39,4,2.30,9,100.00,0,13,0,57,34,6.33,3.78,2.83
Bengals,CIN,1,WR,551027263,Jamison Crowder,10,0,7066,80,10,50.80,30,93.57,2,27,2,93,406,3.10,13.53,25.38
Bills,BUF,2,TE,551027267,Devin Culp,1,0,10047,82,2,3.10,3,100.00,0,18,0,8,31,2.67,10.33,1.82
Bills,BUF,2,HB,551029729,Jaylen Wright,1,0,10306,25,16,208.40,91,94.73,6,54,15,960,1035,10.55,11.37,60.88
Bills,BUF,2,WR,551027234,Malachi Corley,1,0,0,17,6,34.70,13,100.00,0,59,2,58,227,4.46,17.46,16.21
Bills,BUF,2,WR,551028936,Jayden Reed,2,0,2365,11,16,154.10,62,98.96,1,85,11,583,1124,9.40,18.13,70.25
Bills,BUF,2,HB,551028098,Roschon Johnson,2,0,2604,23,1,1.00,1,100.00,0,10,0,14,10,14.00,10.00,0.59
Bills,BUF,2,TE,551027094,Grant Calcaterra,3,0,2067,81,3,2.20,3,100.00,0,10,0,6,22,2.00,7.33,1.29
Bills,BUF,2,WR,551029085,Anthony Schwartz,4,0,1363,86,9,48.20,30,100.00,0,57,3,208,530,6.93,17.67,44.17
Bills,BUF,2,WR,551029457,KaVontae Turpin,4,0,0,9,1,1.00,1,100.00,0,10,0,3,10,3.00,10.00,0.59
Bills,BUF,2,WR,551026857,Rashod Bateman,4,0,1236,7,12,54.30,33,89.58,2,38,2,141,423,4.27,12.82,30.21
Bills,BUF,2,TE,551028732,Josh Oliver,6,0,9590,84,16,57.00,36,93.75,3,36,3,222,442,6.17,12.28,26.00
Bills,BUF,2,HB,551027429,Chase Edmonds,7,0,8873,22,4,14.30,5,100.00,0,6,1,29,19,5.80,3.80,1.12
Bills,BUF,2,WR,551027028,Noah Brown,8,0,8492,85,10,43.70,18,90.00,1,61,2,177,346,9.83,19.22,24.71
Broncos,DEN,3,HB,551026999,Jonathon Brooks,1,0,10022,24,16,147.10,38,95.83,2,39,4,288,402,7.58,10.58,23.65
Broncos,DEN,3,WR,551028455,Ladd McConkey,1,0,10169,15,17,158.70,92,90.82,10,48,13,373,1401,4.05,15.23,82.41
Broncos,DEN,3,WR,551026704,Jordan Addison,2,6,813,3,15,130.80,63,91.06,8,53,9,323,1024,5.13,16.25,68.27
Broncos,DEN,3,HB,551029224,Tyjae Spears,2,0,2405,2,2,3.30,4,100.00,0,10,0,13,10,3.25,2.50,0.59
